Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Scan Sel,Bank,Bank CH #,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Data Mode
1,145.96,435.25, ,Split,FM,AO-91Split,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,0,,Off,0,,,,1,Off
2,435.25,435.25, ,Simplex,FM,AO-91Uplink,Tone,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,1,,Off,0,,,,1,Off
3,145.88,435.35, ,Split,FM,AO-92 Split,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,2,,Off,0,,,,1,Off
4,435.35,435.35, ,Simplex,FM,AO-92 Uplink,Tone,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,3,,Off,0,,,,1,Off
5,145.9,437.5, ,Split,FM,PO-101Split,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,4,,Off,0,,,,1,Off
6,437.5,437.5, ,Simplex,FM,PO-101Uplink,Tone,141.3 Hz,141.3 Hz,23,Both N,All,03: Satellite,5,,Off,0,,,,1,Off
7,437.8,145.99, ,Split,FM,ISS Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,6,,Off,0,,,,1,Off
8,145.99,145.99, ,Simplex,FM,ISS Uplink,Tone,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,7,,Off,0,,,,1,Off
9,145.8,145.8, ,Simplex,FM,ISS SSTV,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,8,,Off,0,,,,1,Off
10,436.795,145.85, ,Split,FM,SO-50 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,9,,Off,0,,,,1,Off
11,145.85,145.85, ,Simplex,FM,SO-50 Uplink,Tone,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,10,,Off,0,,,,1,Off
12,436.795,145.85, ,Split,FM,AO-27 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,11,,Off,0,,,,1,Off
13,145.85,145.85, ,Simplex,FM,AO-27 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,12,,Off,0,,,,1,Off
14,437.2,144.35, ,Split,FM,LilacSat-2 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,13,,Off,0,,,,1,Off
15,144.35,144.35, ,Simplex,FM,LilacSat-2 Uplin,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,14,,Off,0,,,,1,Off
16,435.64,145.965, ,Split,USB,RS-44 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,15,,,,,,,2,Off
17,435.64,435.64, ,Simplex,USB,RS-44 Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,16,,,,,,,2,Off
18,145.965,145.965, ,Simplex,LSB,RS-44 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,17,,,,,,,2,Off
19,145.95,432.15, ,Split,USB,AO-7 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,18,,,,,,,2,Off
20,145.95,145.95, ,Simplex,USB,AO-7 Downlink B,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,19,,,,,,,2,Off
21,432.15,432.15, ,Simplex,LSB,AO-7 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,20,,,,,,,2,Off
22,435.85,145.95, ,Split,USB,FO-29 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,21,,,,,,,2,Off
23,435.85,435.85, ,Simplex,USB,FO-29 Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,22,,,,,,,2,Off
24,145.95,145.95, ,Simplex,LSB,FO-29 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,23,,,,,,,2,Off
25,145.675,435.04, ,Split,USB,XW-2A Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,24,,,,,,,2,Off
26,145.675,145.675, ,Simplex,USB,XW-2A Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,25,,,,,,,2,Off
27,435.04,435.04, ,Simplex,LSB,XW-2A Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,26,,,,,,,2,Off
28,145.74,435.1, ,Split,USB,XW-2B Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,27,,,,,,,2,Off
29,145.74,145.74, ,Simplex,USB,XW-2B Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,28,,,,,,,2,Off
30,435.1,435.1, ,Simplex,LSB,XW-2B Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,29,,,,,,,2,Off
