CH No,Name,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
00,AO-91,145.960000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
01,AO-91,435.250000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
02,PO-101,437.500000,OFF,0.000000,FM,OFF,1,OFF,141.3Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
03,PO-101,145.900000,OFF,0.000000,FM,OFF,1,TONE,141.3Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
04,ISS Repater,437.500000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
05,ISS Repater,145.990000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
06,ISS SSTV,145.800000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
07,ISS SSTV,435.900000,OFF,0.000000,USB,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
08,SO-50,436.795000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
09,SO-50,145.850000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
10,LilacSat-2,437.200000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
11,LilacSat-2,145.350000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
12,RS-44,435.640000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
13,RS-44,145.965000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
14,RS-44 CW BEACON,435.605000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
15,RS-44 CW BEACON,145.965000,OFF,0.000000,CW,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
16,AO-7 Mode B,145.950000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
17,AO-7 Mode B,432.150000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
18,AO-7 CW BEACON,145.975000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
19,AO-7 CW BEACON,432.150000,OFF,0.000000,CW,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
